id;start_date;end_date;language
1;2025-02-12T07:35:01;2025-02-13T00:28:13;ENGLISH
2;2025-02-12T18:02:45;2025-02-12T05:38:06;ENGLISH
3;2025-02-12T06:53:25;2025-02-12T06:14:05;FRENCH
4;2025-02-12T15:07:58;2025-02-12T11:15:46;ENGLISH
5;2025-02-12T04:47:05;2025-02-12T23:47:15;FRENCH
6;2025-02-12T10:42:05;2025-02-13T00:42:24;FRENCH
7;2025-02-12T06:02:22;2025-02-12T09:49:05;ENGLISH
8;2025-02-12T21:02:00;2025-02-12T23:28:01;ENGLISH
9;2025-02-12T05:15:14;2025-02-12T13:32:37;SPANISH
10;2025-02-13T00:49:58;2025-02-12T20:21:19;FRENCH
