id;street_address;postal_code;city;state_province
1;even;coliseum uh-huh;Titusville;searchingly
2;overconfidently yet;pfft so;Fort Rossie;wherever unlucky unless
3;pace own ack;oh;Fort Thelma;phew
4;finally whoa;polished loudly times;Jermainview;self-reliant oof
5;which inside hamburger;unless putrid instead;New Chase;purse tabletop
6;kick;etch ack commonly;West Tavares;within amid
7;cod ah;save rationalize;West Stanley;but oh perp
8;enlist pecan joyfully;er;East Kristoffermouth;beloved concerning ethyl
9;that once mechanically;forgather er;El Monte;after
10;dreamily plus only;oh;Lynchland;punctually informal
